UPL/Abamecal.pdf, , , UPL, , , , , 
./Evito_T.pdf, 1644, , ., , Fluoxastrobin, +, Tebuconazole, FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Zellus.pdf, 0002, , ., , Benomyl, FUNGICIDA, Polvo, Mojable, -, WP, 
./Holdown.pdf, 1777, HOLDOWN, CS, ., , Pendimetalina, +, Clomazone, HERBICIDA, Capsulas, en, suspensión, -, CS, 
./Ippon.pdf, 0462, , ., , Iprodione, FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Methox_216SL.pdf, 0154, , ., , Metomil, INSECTICIDA, Concentrado, Soluble, -, SL, 
./Dimilin.pdf, 2472, DIMILIN, 48, SC, ., , Diflubenzuron, INSECTICIDA, Suspensión, Concentrada, -, SC, 
./Antraneb.pdf, 0481, , ., , Propineb, FUNGICIDA, Polvo, Mojable, -, WP, 
./Maestro.pdf, , , ., ARYSTA, LIFESCIENCE, COLOMBIA, S.A.S, Captan, fungicida, Polvo, Mojable, -WP, 
./Difecol.pdf, 0422, , ., , Difenoconazole, FUNGICIDA, Concentrado, Emulsionable, -, EC, 
./Carbencal.pdf, 0004, , ., , Carbendazim, FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Calriz.pdf, 0011, , ., , Propanil, -, Triclopyr, HERBICIDA, Concentrado, Emulsionable, -, EC, 
./Pablanco.pdf, 1398, , ., , Bifentrina, INSECTICIDA, Concentrado, Emulsionable, –, C.E., 
./Agripyr.pdf, 1568, , ., , Pyrimethanil, FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Fury.pdf, 0305, , ., , Zeta, cypermethryn, INSECTICIDA, Concentrado, Emulsionable, -, EC, 
./Magestic.pdf, 2459, , ., , Acefato, INSECTICIDA, Polvo, Soluble, –, SP, 
./Glifosol.pdf, 2461, , ., , Glifosato, HERBICIDA, Concentrado, Soluble-, SL, 
./Methox.pdf, 0133, , ., , Metomil, INSECTICIDA, Polvo, Soluble, -, SP, 
./Starmite.pdf, 0837, , ., , Cyenopyrafen, INSECTICIDA, Suspensión, Concentrada, -, SC, 
./Met_Met.pdf, , MET, MET, 600, WG, ., , Metsulfuron, metil, HERBICIDA, Gránulos, Dispersables, -, WG, 
./Profenocron.pdf, 0018, PROFENOCRON, ., , Profenofos, INSECTICIDA, Concentrado, Emulsionable, -, EC, 
./Trifon.pdf, 0310, TRIFON, 250, EC, ., , Triadimefon, FUNGICIDA, Concentrado, Emulsionable, -, EC, 
